,Center Name,Contact,Email,Address,Product,Current Payment,Proposed,Upsell,Notes,,,
1,Holiday Bowl,Tom Falbo,tom@holidaybowlaltoona.com ,"181 Bowling Ln, Altoona, PA 16601",Reservations/Payment,$99.00,$99.00,"$1,999.00","Drew's relationship, paying for res and could be upsold to Boost",,,
2,Valley Bowl,Karen Warner,karensproshop@gmail.com,"12 Prince St # 5, Randolph, VT 05060",BAM,"$1,550.00","$1,550.00","$1,550.00",BAM client who is using our res system,,,
3,Midway Bowl,Daniel Mowery,dan@mowery.pro,"1561 Holly Pike, Carlisle, PA 17015",Boost,"$1,999.00","$1,999.00","$1,999.00",Paying with limited results,,,Never Paid / Should Be
4,Station 300 Bluffton,Leah Frank,lfrank@station300.com,"25 Innovation Dr, Bluffton, SC 29910",Amplify,$548.00,$548.00,$548.00,Paying for Amplify and wants to switch to Square for invoices,,,Grandfathered In at Launch / Need to Re-Eval
5,Arnold's Family Fun Center,David Ballenberg,davidb@arnoldsffc.com,"2200 West Dr, Oaks, PA 19456",Reservations/Payment,$0.00,$0.00,$548.00,Very cheap but should be buying CRM,,,Active / Paying
6,Station 300 Akron,Devon Stewart,devon@station300.com,"580 E Cuyahoga Falls Ave, Akron, OH 44310",Amplify,$548.00,$548.00,$548.00,Paying for Amplify and wants to switch to Square for invoices,,,
7,Station 300 Gainesville,Cheyenne Ergle,cheyenne@station300.com,"2317 Browns Bridge Rd, Gainesville, GA 30504",Boost,"$1,450.00","$1,450.00","$2,000.00",Paying difference of Amplify to upgrade to Boost,,,
8,Jay Lanes,Renee Talkington,jaylanes@comcast.net,"1428 Benjamin Franklin Hwy, Douglassville, PA 19518",Boost,"$1,450.00","$1,450.00","$2,000.00","Paid for year, invested $75k into BowlNow as well",,,
9,MacDade Bowl,Bob Pescatore,macdadeevents@gmail.com,"2105 MacDade Boulevard, Holmes, PA 19043",Reservations/Payment,$0.00,$0.00,$0.00,"Never paid, never had results",,,
10,Leisure Lanes,Harry Yarnall,lllanc@aol.com,"3440 Columbia Ave, Lancaster, PA 17603",Reservations/Payment,$0.00,$0.00,$0.00,Invested in BowlNow and grandfathered to $1 res fee,,,
11,Lakes Lanes,Philip Johnson,philip@lakeslanes.com,"5000 Main St, The Colony, TX 75056",Reservations/Payment,$99.00,$99.00,"$1,999.00",First BowlNow customer from cold email,,,
12,Midway Berkeley Springs,Theby Gregory,theby@midwaybowl.com,"4909 Valley Rd, Berkeley Springs, WV 25411",Reservations/Payment,$149.00,$149.00,$149.00,Paying but using in very limited fashion,,,
13,Suitland Bowl,Megan Adkins,madkins1012@gmail.com,"4811 Silver Hill Rd, Hillcrest Heights, MD 20746",Reservations/Payment,$0.00,$0.00,$0.00,"Drew's insurance client, stingy on spending so doubt chance to upsell",,,
14,Sims Bowling Lanes,Heather Fenchel,simsbowlinglanesandbar@gmail.com,"7245 Big Beaver Blvd, Beaver Falls, PA 15010",Amplify,$348.00,$348.00,$348.00,"Been through the ringer and finally working, gave discount, maybe boost.",,,
15,Rolla Bowling Center,Megan McPherson,rollabowlingcenter@hotmail.com,"1038 Kingshighway, Rolla, MO 65401",Reservations/Payment,$99.00,$99.00,$99.00,"2 site, Could be interested in CRM but doesn't have $ to increase to boost",,,
16,Plaza Lanes Meadville,Ramon Rodriguez,ramon@plazalanesmeadville.com,"18799 Smock Hwy, Meadville, PA 16335",Reservations/Payment,$0.00,$0.00,$0.00,Grandfathered with $1 res fee,,,
17,Station 300 Saline,Amanda Johnson,amanda.johnson@station300.com,"830 Woodland Dr E, Saline, MI 48176",Boost,"$1,449.00","$1,449.00","$1,449.00",Paying difference of Amplify to upgrade to Boost,,,
18,King Lanes,Michelle Cominos,kinglanes2020@gmail.com,"590 S Water St, Kittanning, PA 16201",Reservations/Payment,,$99.00,$99.00,"Drews lead, need to figure out standing",,,
19,Salem Bowling Center,Megan McPherson,salembowlingcenter@hotmail.com,"1201B E Scenic Rivers Blvd, Salem, MO 65560",Reservations/Payment,$99.00,$99.00,$99.00,"2 site, Could be interested in CRM but doesn't have $ to increase to boost",,,
20,Lincoln Lanes,Ed Zuzak,lezlanes@yahoo.com,"3850 US-30, Latrobe, PA 15650",Reservations/Payment,$99.00,$0.00,$0.00,"Switching to Qubica, will circle back once their trial period is over",,,
21,Glen Burnie Bowl,DeAnna Rhine,d.rhine@icloud.com,"6322 Ritchie Hwy, Glen Burnie, MD 21061",Reservations/Payment,$99.00,$0.00,$0.00,Closing for good soon,,,
